nombre,Latitud,Longitud,coordenadas
VENUSTIANO CARRANZA (SAN LUIS DE BABAROCOS),27.88351722,-108.8085639,"27.88351722,-108.8085639"
EL MANZANO,27.745,-108.1591667,"27.745,-108.1591667"
EL JARALITO,22.03916667,-100.8233333,"22.03916667,-100.8233333"
LA MANTEQUILLA,22.42888889,-100.8808333,"22.42888889,-100.8808333"
LA MELADA,22.47611111,-100.9691667,"22.47611111,-100.9691667"
PEÑASCO,22.32861111,-100.9475,"22.32861111,-100.9475"
EL HUAYAL,21.48166667,-98.59888889,"21.48166667,-98.59888889"
MANCHOC,21.34388889,-98.69277778,"21.34388889,-98.69277778"
OCUILTZAPOYO,21.32444444,-98.72861111,"21.32444444,-98.72861111"
EL POTRERO (SAN MARTIN CHALCHICUAUTLA),21.24194444,-98.63138889,"21.24194444,-98.63138889"
CAÑADA DE YAÑEZ,21.81444444,-100.6538889,"21.81444444,-100.6538889"
CERRITOS DE BERNAL,23.35666667,-101.5005556,"23.35666667,-101.5005556"
ILLESCAS,23.23694444,-102.1461111,"23.23694444,-102.1461111"
SAN ANTONIO DEL MEZQUITE,23.16222222,-101.8902778,"23.16222222,-101.8902778"
SAN JUAN DEL SALADO,23.31388889,-101.9566667,"23.31388889,-101.9566667"
LA VICTORIA (SANTO DOMINGO),23.63166667,-101.3933333,"23.63166667,-101.3933333"
ZANCARRON,23.37305556,-102.2194444,"23.37305556,-102.2194444"
SAN FRANCISCO CUAYALAB,21.73055556,-98.71777778,"21.73055556,-98.71777778"
FLORES MAGON,21.77416667,-98.56861111,"21.77416667,-98.56861111"
FRACCION GENERAL ENRIQUE ESTRADA (LA CONCHA),22.23972222,-100.8894444,"22.23972222,-100.8894444"
LA PALMA (VILLA DE LA PALMA),21.785887,-99.468138,"21.785887,-99.468138"
SANTA MARIA TAMPALATIN,21.8225,-99.35694444,"21.8225,-99.35694444"
VEINTE DE NOVIEMBRE (TAMASOPO),21.75472222,-99.27944444,"21.75472222,-99.27944444"
TIXCACALTUYUB,20.49277778,-88.91666667,"20.49277778,-88.91666667"
LOS LLAMAS (SAN ISIDRO),21.50277778,-103.0905556,"21.50277778,-103.0905556"
ROCOROYBO,27.69,-108.2472222,"27.69,-108.2472222"
EL REBAJE,28.03888889,-108.9422222,"28.03888889,-108.9422222"
VENUSTIANO CARRANZA (ACUÑA),29.19882222,-102.4073625,"29.19882222,-102.4073625"
RIO BRAVO,28.30972222,-100.9183333,"28.30972222,-100.9183333"
JAME,25.36722222,-100.6208333,"25.36722222,-100.6208333"
LOS LLANOS,25.30583333,-100.8,"25.30583333,-100.8"
PIEDRA BLANCA,25.46222222,-100.6069444,"25.46222222,-100.6069444"
SAN FRANCISCO (TAMAZUNCHALE),21.279491,-98.890736,"21.279491,-98.890736"
LAS VIBORAS (TAMPAMOLON CORONA),21.46444444,-98.71138889,"21.46444444,-98.71138889"
ESTACION TAMUIN,22.0775,-98.81111111,"22.0775,-98.81111111"
AGUALOJA,21.68888889,-98.84861111,"21.68888889,-98.84861111"
EL JOMTE,21.65805556,-98.91166667,"21.65805556,-98.91166667"
TOMO,24.96916667,-107.1761111,"24.96916667,-107.1761111"
SAN JOSE DE LOS LLANOS (LOS LLANOS),26.59722222,-108.09,"26.59722222,-108.09"
RINCON DE ALISO,26.15722222,-108.7619444,"26.15722222,-108.7619444"
EL ROBLE,23.24555556,-106.2058333,"23.24555556,-106.2058333"
PALMA CUATA,21.48444444,-103.0180556,"21.48444444,-103.0180556"
SAN JOSE DE LAS DELICIAS,25.80527778,-107.7838889,"25.80527778,-107.7838889"
MATIAS GARCIA (LA HACIENDA),23.40472222,-99.43555556,"23.40472222,-99.43555556"
COL. TAMAULIPAS,22.7425,-98.97222222,"22.7425,-98.97222222"
LA REFORMA (MATAMOROS),25.87972222,-97.50416667,"25.87972222,-97.50416667"
LA NUEVA UNION (SAN CARLOS),24.41638889,-99.15361111,"24.41638889,-99.15361111"
EL ESMERIL,23.51,-97.88055556,"23.51,-97.88055556"
LAZARO CARDENAS (VALLE HERMOSO),25.67361111,-97.81444444,"25.67361111,-97.81444444"
LA MOJARRA,18.61667,-95.79972,"18.61667,-95.79972"
PRIMO VERDAD (SAN MIGUEL),20.82166667,-98.21555556,"20.82166667,-98.21555556"
SAN FERNANDO COAPECHAPA,20.3675,-97.62055556,"20.3675,-97.62055556"
CHICUALOQUE,20.38277778,-97.66194444,"20.38277778,-97.66194444"
TLANEMPA COMUN,20.91555556,-97.95083333,"20.91555556,-97.95083333"
COACOACO,20.8275,-98.43694444,"20.8275,-98.43694444"
COLATLAN,20.8175,-98.10027778,"20.8175,-98.10027778"
TENENEXPAN,19.14111111,-96.39388889,"19.14111111,-96.39388889"
PUEBLO VIEJO (MISANTLA),19.81611111,-96.87361111,"19.81611111,-96.87361111"
MOZUTLA,20.58611111,-97.37583333,"20.58611111,-97.37583333"
LAS AMERICAS GRANDES,20.81833333,-97.61972222,"20.81833333,-97.61972222"
EL PAPATLAR,20.60083333,-98.2825,"20.60083333,-98.2825"
PRAXEDIS GUERRERO (KILOMETRO 18),20.8,-97.3125,"20.8,-97.3125"
LOS CAMPOS,21.49472222,-103.6388889,"21.49472222,-103.6388889"
BOQUILLA DE ABAJO,23.555,-102.8641667,"23.555,-102.8641667"
PAREDONES (TANTOYUCA),21.52944,-98.17472,"21.52944,-98.17472"
GENERAL PRIM (SAN FRANCISCO),20.48305556,-98.3025,"20.48305556,-98.3025"
ATLAHUILCO,18.69944444,-97.08833333,"18.69944444,-97.08833333"
EL REMOLINO (LAS CHOAPAS),17.45694444,-93.79805556,"17.45694444,-93.79805556"
COL. RODOLFO SANCHEZ TABOADA (PRIMERA SECC.),17.64027778,-94.51111111,"17.64027778,-94.51111111"
OCOTITLAN,19.04333333,-96.90972222,"19.04333333,-96.90972222"
FERNANDO LOPEZ ARIAS (MINATITLAN),17.54805556,-94.29138889,"17.54805556,-94.29138889"
PASO GAVILAN,18.98138889,-96.62444444,"18.98138889,-96.62444444"
ARROYO DEHESA,17.7975,-95.69888889,"17.7975,-95.69888889"
SAYULA DE ALEMAN,17.88111111,-94.96055556,"17.88111111,-94.96055556"
TEHUIPANGO,18.51777778,-97.05611111,"18.51777778,-97.05611111"
HUIXCOLOTLA,18.66555556,-96.4975,"18.66555556,-96.4975"
LAZARO CARDENAS (TIERRA BLANCA),18.70583333,-96.51333333,"18.70583333,-96.51333333"
RIO UXPANAPA (POBLADO CATORCE),17.16583333,-94.14694444,"17.16583333,-94.14694444"
LA UNION PROGRESO TATAHUICAPA,17.64638889,-95.57944444,"17.64638889,-95.57944444"
DZILAM GONZALEZ,21.28,-88.92916667,"21.28,-88.92916667"
KAUA,20.61916667,-88.41555556,"20.61916667,-88.41555556"
DZONOT CARRETERO,21.40194444,-87.8775,"21.40194444,-87.8775"
LUIS MOYA,23.58111111,-103.4416667,"23.58111111,-103.4416667"
LA COLORADA (ESTACION LA COLORADA),23.80944444,-102.4719444,"23.80944444,-102.4719444"
TELCHAC PUERTO,21.34055556,-89.26305556,"21.34055556,-89.26305556"
MORELOS (SAN RAFAEL),24.43555556,-101.2002778,"24.43555556,-101.2002778"
PROGRESO (AGUA DULCE),24.46166667,-101.0566667,"24.46166667,-101.0566667"
EL SALERO,24.59777778,-101.3427778,"24.59777778,-101.3427778"
SAN PEDRO PIEDRA GORDA,22.44861111,-102.35,"22.44861111,-102.35"
GUALTERIO,23.58305556,-103.8586111,"23.58305556,-103.8586111"
JOSE MARIA MORELOS (SAN JOSE DE GRACIA),23.39333333,-103.8994444,"23.39333333,-103.8994444"
CHICHIMEQUILLAS,23.24027778,-102.5788889,"23.24027778,-102.5788889"
RAFAEL YAÑEZ SOSA (EL MEZQUITE),23.32833333,-102.6102778,"23.32833333,-102.6102778"
COLONIA MONTEMARIANA (COLONIA MARIANA),23.32638889,-103.1122222,"23.32638889,-103.1122222"
EL PARDILLO TERCERO,23.14166667,-102.7158333,"23.14166667,-102.7158333"
COLONIA PLENITUD,23.2325,-103.075,"23.2325,-103.075"
SAN BUENAVENTURA TECALTZINGO,19.24777778,-98.46055556,"19.24777778,-98.46055556"
SAN FRANCISCO TLALOC,19.36972222,-98.47722222,"19.36972222,-98.47722222"
SAN NICOLAS BUENOS AIRES,19.16416667,-97.5475,"19.16416667,-97.5475"
EMILIO PORTES GIL (SAN NICOLAS BUENOS AIRES),19.30833333,-97.51,"19.30833333,-97.51"
SANTIAGO XALITZINTLA,19.08333333,-98.51611111,"19.08333333,-98.51611111"
SAN MIGUEL TULAPA,18.14694444,-98.12277778,"18.14694444,-98.12277778"
CHOLULA DE RIVADAVIA,19.09319056,-98.35441472,"19.09319056,-98.35441472"
COLONIA PURISIMA DEL MAGUEY,23.03222222,-102.8938889,"23.03222222,-102.8938889"
SAN PEDRO YELOIXTLAHUACA,18.11694444,-98.07722222,"18.11694444,-98.07722222"
SAN LUIS TEMALACAYUCA,18.60138889,-97.55944444,"18.60138889,-97.55944444"
ZARAGOZA (ZARAGOZA),19.77277778,-97.55666667,"19.77277778,-97.55666667"
SANTIAGO ZAUTLA,19.71599389,-97.67234222,"19.71599389,-97.67234222"
JALCOMULCO,19.78361111,-97.68222222,"19.78361111,-97.68222222"
SAN MIGUEL TENEXTATILOYAN,19.71111111,-97.59472222,"19.71111111,-97.59472222"
CERRO VERDE,20.33916667,-97.75111111,"20.33916667,-97.75111111"
LA UNION (ZIHUATEUTLA),20.26191389,-97.87169306,"20.26191389,-97.87169306"
ZONGOZOTLA,19.97972222,-97.72666667,"19.97972222,-97.72666667"
SAN CRISTOBAL (FRESNILLO),23.17666667,-103.0555556,"23.17666667,-103.0555556"
NUEVA FRANCIA,15.37055556,-92.58888889,"15.37055556,-92.58888889"
CINTALAPA (ESCUINTLA),15.3375,-92.61527778,"15.3375,-92.61527778"
LOS ANGELES,15.77388889,-91.97944444,"15.77388889,-91.97944444"
SABINALITO,15.70083333,-91.98555556,"15.70083333,-91.98555556"
PASO HONDO,15.68194444,-92.01972222,"15.68194444,-92.01972222"
SAN CARALAMPIO (FRONTERA COMALAPA),15.82833333,-92.03416667,"15.82833333,-92.03416667"
SINALOA,15.89138889,-92.12888889,"15.89138889,-92.12888889"
NUEVO MAZAPA,15.77583333,-92.14055556,"15.77583333,-92.14055556"
GUADALUPE GRIJALVA,15.69777778,-92.16361111,"15.69777778,-92.16361111"
NUEVA LIBERTAD (FRONTERA COMALAPA),15.75444444,-92.20222222,"15.75444444,-92.20222222"
MONTERDE (MONTERDE VIEJO),27.57075056,-108.0804839,"27.57075056,-108.0804839"
LIC. ADOLFO LOPEZ MATEOS,28.47777778,-107.3316667,"28.47777778,-107.3316667"
AHUCHIQUE,28.08527778,-107.7144444,"28.08527778,-107.7144444"
COJAHUACHI,28.04222222,-107.5238889,"28.04222222,-107.5238889"
ACATEPEC (SAN ANTONIO),18.3725,-97.03777778,"18.3725,-97.03777778"
TEPEXILOTLA,18.46522139,-96.90684111,"18.46522139,-96.90684111"
CERRITO DE ROJAS,22.44527778,-101.1911111,"22.44527778,-101.1911111"
PASO BONITO,22.32527778,-101.2616667,"22.32527778,-101.2616667"
CONEJILLO,22.505,-101.7911111,"22.505,-101.7911111"
TENEXCALCO (LA CEIBA),21.38833333,-98.90305556,"21.38833333,-98.90305556"
SANTIAGO DE LOS CABALLEROS (SANTIAGO),25.5575,-107.3763889,"25.5575,-107.3763889"
CORTIJOS DE GUATENIPA (LOS CORTIJOS),25.29861111,-107.2227778,"25.29861111,-107.2227778"
HUIXIOPA,25.75666667,-107.1886111,"25.75666667,-107.1886111"
POTRERILLOS (BADIRAGUATO),25.94316944,-107.3396458,"25.94316944,-107.3396458"
EL POTRERO DE BEJARANO,26.04277778,-107.3397222,"26.04277778,-107.3397222"
SAN ISIDRO DE CABRALES,23.06666667,-103.1655556,"23.06666667,-103.1655556"
COPALA,23.39611111,-105.9338889,"23.39611111,-105.9338889"
LAS IGUANAS,23.50472222,-106.1763889,"23.50472222,-106.1763889"
EL PUEBLITO (CONCORDIA),23.71805556,-106.0038889,"23.71805556,-106.0038889"
SANTA LUCIA (CONCORDIA),23.4375,-105.8527778,"23.4375,-105.8527778"
GUADALUPE DE LOS REYES,24.27855833,-106.5070647,"24.27855833,-106.5070647"
PUEBLO DE ALAYA,24.52083333,-106.8808333,"24.52083333,-106.8808333"
LAGUNA DE BELTRANES,22.94777778,-105.9094444,"22.94777778,-105.9094444"
EL DIAMANTE,18.61083333,-95.17194444,"18.61083333,-95.17194444"
AGUA NACIDA,20.91416667,-97.70666667,"20.91416667,-97.70666667"
LAS CAÑAS DE ABAJO,20.81861111,-97.57555556,"20.81861111,-97.57555556"
ESTERO DEL IDOLO,20.89111111,-97.65972222,"20.89111111,-97.65972222"
TEMAPACHE,21.06694444,-97.63944444,"21.06694444,-97.63944444"
LOMAS DE VINAZCO,20.86333333,-97.8825,"20.86333333,-97.8825"
SAN MIGUEL (TEMAPACHE),20.94888889,-97.54611111,"20.94888889,-97.54611111"
VILLA HERMOSA (TEMAPACHE),20.95722222,-97.58472222,"20.95722222,-97.58472222"
VICENTE GUERRERO (TEMAPACHE),21.06027778,-97.86583333,"21.06027778,-97.86583333"
COROZAL,21.54805556,-98.55472222,"21.54805556,-98.55472222"
MONTE REAL,19.72888889,-96.925,"19.72888889,-96.925"
FRIJOLILLO (TUXPAN),20.91638889,-97.49,"20.91638889,-97.49"
EL JOBO,20.78611111,-97.42416667,"20.78611111,-97.42416667"
ALTO DE SAN LORENZO,21.07805556,-97.44888889,"21.07805556,-97.44888889"
URSULO GALVAN II,19.40694444,-96.36305556,"19.40694444,-96.36305556"
EL LAUREL,20.1175,-96.68194444,"20.1175,-96.68194444"
ANAHUAC (SAN EUSTAQUIO),24.52916667,-101.3361111,"24.52916667,-101.3361111"
SAN JOSE DE LOURDES,23.27777778,-103.0088889,"23.27777778,-103.0088889"
CRISTOBAL HIDALGO,19.85222222,-96.7575,"19.85222222,-96.7575"
LEONA VICARIO,19.85416667,-96.80083333,"19.85416667,-96.80083333"
ATIXTACA,20.49694444,-98.39388889,"20.49694444,-98.39388889"
EL PALENQUE PALOTAL,18.96777778,-96.97916667,"18.96777778,-96.97916667"
SANTA ROSA (JUAN RODRIGUEZ CLARA),17.92972222,-95.44083333,"17.92972222,-95.44083333"
SEIS DE ENERO (FRESNILLO),23.36333333,-103.0727778,"23.36333333,-103.0727778"
URITE,23.32194444,-103.2475,"23.32194444,-103.2475"
PERALES,22.54388889,-102.5536111,"22.54388889,-102.5536111"
EL TEPETATE (GENARO CODINA),22.59083333,-102.6511111,"22.59083333,-102.6511111"
GENERAL ENRIQUE ESTRADA,22.99444444,-102.7413889,"22.99444444,-102.7413889"
APASEO,24.26444444,-103.0388889,"24.26444444,-103.0388889"
FRANCISCO I. MADERO (COLONIA MADERO),23.93083333,-102.9536111,"23.93083333,-102.9536111"
SAN RAFAEL DE ARRIBA,25.88,-103.1333333,"25.88,-103.1333333"
TACUBAYA,25.68361111,-103.0686111,"25.68361111,-103.0686111"
BOCA DE SAN MIGUEL,18.45277778,-95.51972222,"18.45277778,-95.51972222"
EL SAUCE (CERRO GRANDE),18.7125,-96.0675,"18.7125,-96.0675"
PASO CARRETAS,18.68444444,-96.13777778,"18.68444444,-96.13777778"
CUYUCUENDA,18.78166667,-96.27527778,"18.78166667,-96.27527778"
TLAQUILPA,18.61222222,-97.11888889,"18.61222222,-97.11888889"
TECAMA,19.005,-96.985,"19.005,-96.985"
MATA OBSCURA,19.21805556,-96.855,"19.21805556,-96.855"
TLAPALA,19.27166667,-96.91027778,"19.27166667,-96.91027778"
MATLALUCA,19.05555556,-96.77305556,"19.05555556,-96.77305556"
CORAZON DE JESUS (PIÑA),19.06638889,-96.82361111,"19.06638889,-96.82361111"
CHICOMAPA,18.55417,-96.84361,"18.55417,-96.84361"
GENERAL MANUEL AVILA CAMACHO (MESILLAS),24.25805556,-102.7736111,"24.25805556,-102.7736111"
COLONIA ANTONIO R. VELA (SAN LORENZO),22.095,-103.0336111,"22.095,-103.0336111"
GENERAL PANFILO NATERA,22.665,-102.1097222,"22.665,-102.1097222"
EL SAUCITO (EL HORNO),22.73111111,-102.0952778,"22.73111111,-102.0952778"
CASA BLANCA,22.88527778,-102.3058333,"22.88527778,-102.3058333"
LA ZACATECANA,22.73138889,-102.4738889,"22.73138889,-102.4738889"
SAN JOSE DE LA PALMA,21.75055556,-102.8183333,"21.75055556,-102.8183333"
COLONIA ARECHIGA,21.62583333,-103.1497222,"21.62583333,-103.1497222"
SANTA JUANA (IGNACIO ZARAGOZA),21.66722222,-102.9113889,"21.66722222,-102.9113889"
CIENEGUITAS DE FERNANDEZ,22.79055556,-103.1694444,"22.79055556,-103.1694444"
ERMITA DE GUADALUPE,22.58777778,-103.0327778,"22.58777778,-103.0327778"
ERMITA DE LOS CORREA,22.90416667,-103.0175,"22.90416667,-103.0175"
LOS HARO,22.76777778,-102.9627778,"22.76777778,-102.9627778"
LO DE LUNA,22.695,-102.8333333,"22.695,-102.8333333"
LA GAVIA (JEREZ),22.56666667,-102.9611111,"22.56666667,-102.9611111"
SAUCES DE ABAJO (SAN JOSE DE LOS SAUCES),23.28805556,-103.8127778,"23.28805556,-103.8127778"
OJITOS,24.30638889,-103.3433333,"24.30638889,-103.3433333"
CONTITLAN,21.34777778,-103.135,"21.34777778,-103.135"
LA CONCEPCION (LORETO),22.23583333,-101.8544444,"22.23583333,-101.8544444"
TIERRA BLANCA (LORETO),22.3475,-102.0644444,"22.3475,-102.0644444"
LOS GRIEGOS (GRIEGOS),22.44888889,-102.2186111,"22.44888889,-102.2186111"
CEDROS,24.67805556,-101.7725,"24.67805556,-101.7725"
LA PARDITA,24.29917972,-101.4369594,"24.29917972,-101.4369594"
LA PRESITA,24.34694444,-101.7216667,"24.34694444,-101.7216667"
SAN ELIAS DE LA CARDONA,24.01666667,-101.6144444,"24.01666667,-101.6144444"
SAN RAFAEL (JOSE MARIA MORELOS),24.59166667,-102.1102778,"24.59166667,-102.1102778"
TAMPICO (NUEVO TAMPICO),24.98611111,-102.6158333,"24.98611111,-102.6158333"
LA TASAJERA,24.495,-102.1966667,"24.495,-102.1966667"
SAN JERONIMO (LA NORIA),24.985,-102.2172222,"24.985,-102.2172222"
MIGUEL AUZA,24.29388889,-103.4497222,"24.29388889,-103.4497222"
COLONIA VEINTE DE NOVIEMBRE (SANTA ANA),24.23777778,-103.5561111,"24.23777778,-103.5561111"
MONTE ESCOBEDO,22.30361111,-103.5602778,"22.30361111,-103.5602778"
LAGUNA GRANDE,22.44194444,-103.5027778,"22.44194444,-103.5027778"
MARIA DE LA TORRE,22.25694444,-103.3522222,"22.25694444,-103.3522222"
CUXPALA,21.28888889,-103.2263889,"21.28888889,-103.2263889"
PALMAREJO,21.10471417,-103.1282911,"21.10471417,-103.1282911"
DANIEL CAMARENA (LAS ANIMAS),21.34527778,-102.8944444,"21.34527778,-102.8944444"
LA ESTANCIA (NOCHISTLAN DE MEJIA),21.42944444,-102.7397222,"21.42944444,-102.7397222"
TLACHICHILA,21.55694444,-102.7858333,"21.55694444,-102.7858333"
LA CONCEPCION (OJOCALIENTE),22.51666667,-102.2661111,"22.51666667,-102.2661111"
LOS CARDOS (TLALTENANGO DE SANCHEZ ROMAN),21.82027778,-103.1094444,"21.82027778,-103.1094444"
JOAQUIN MIGUEL GUTIERREZ (QUESPALA),15.81527778,-91.94777778,"15.81527778,-91.94777778"
DR. RODULFO FIGUEROA (TIERRA BLANCA),15.85083333,-92.06222222,"15.85083333,-92.06222222"
LA NUEVA UNION (BENEMERITO DE LAS AMERICAS),16.08694444,-90.77333333,"16.08694444,-90.77333333"
FLOR DE CAFE,16.08083333,-91.18277778,"16.08083333,-91.18277778"
AMATITLAN,16.23611111,-91.28944444,"16.23611111,-91.28944444"
MARAVILLA TENEJAPA,16.13916667,-91.29555556,"16.13916667,-91.29555556"
PICO DE ORO,16.33222222,-90.76527778,"16.33222222,-90.76527778"
SAUZ DE ABAJO,24.70527778,-104.47,"24.70527778,-104.47"
COLONIA GUADALUPE EL ASTILLERO,20.32916667,-99.55222222,"20.32916667,-99.55222222"
EL CARMEN (HUICHAPAN),20.30555556,-99.82694444,"20.30555556,-99.82694444"
JONACAPA,20.43972222,-99.53305556,"20.43972222,-99.53305556"
EL NARANJO (LA MISION),21.02222222,-99.00361111,"21.02222222,-99.00361111"
BENITO JUAREZ (MIXQUIAHUALA DE JUAREZ),20.29416667,-99.14638889,"20.29416667,-99.14638889"
COLONIA MORELOS (EL NUEVE),20.225,-99.14111111,"20.225,-99.14111111"
TEPEITIC,20.24138889,-99.29083333,"20.24138889,-99.29083333"
CUXHUACAN,20.97166667,-98.81805556,"20.97166667,-98.81805556"
HOLANDA,18.91861111,-102.3775,"18.91861111,-102.3775"
SAN JUAN BAUTISTA TLACOATZINTEPEC,17.85972222,-96.58611111,"17.85972222,-96.58611111"
SANTA LUCIA MIAHUATLAN,16.18527778,-96.61805556,"16.18527778,-96.61805556"
SANTA LUCIA MONTEVERDE,16.97027778,-97.66583333,"16.97027778,-97.66583333"
TEPEACA,18.96805556,-97.9025,"18.96805556,-97.9025"
TEPETZINTLA,19.97,-97.84027778,"19.97,-97.84027778"
OMITLAN,19.9025,-97.85333333,"19.9025,-97.85333333"
XOCHITLAXCO (SAN BALTAZAR),19.94138889,-97.86361111,"19.94138889,-97.86361111"
ALMOLONGA (TODOS SANTOS),18.47416667,-97.96555556,"18.47416667,-97.96555556"
SAN FELIPE OTLALTEPEC,18.40194444,-97.90861111,"18.40194444,-97.90861111"
TEPEYAHUALCO,19.49333333,-97.49222222,"19.49333333,-97.49222222"
SAN JOSE ALCHICHICA,19.43583333,-97.38888889,"19.43583333,-97.38888889"
LA CRUZ,23.76416667,-100.6872222,"23.76416667,-100.6872222"
EL CUAREJO,23.83111111,-100.5758333,"23.83111111,-100.5758333"
SAN ISIDRO (CEDRAL),23.86638889,-100.7769444,"23.86638889,-100.7769444"
SANTA RITA DEL SOTOL,24.00972222,-100.6319444,"24.00972222,-100.6319444"
BOSQUE Y CALDERA,22.48861111,-100.1952778,"22.48861111,-100.1952778"
PALO ALTO DE LA PURISIMA CONCEPCION,21.65694444,-99.87555556,"21.65694444,-99.87555556"
CIENEGA DE LOS LARA,25.24472222,-107.4391667,"25.24472222,-107.4391667"
IPUCHA,24.33472222,-106.7644444,"24.33472222,-106.7644444"
SAN ISIDRO (HIDALGO),24.23916667,-99.59416667,"24.23916667,-99.59416667"
MAGDALENO AGUILAR (SANTIAGUILLO),23.45222222,-99.55833333,"23.45222222,-99.55833333"
PADRON Y JUAREZ (LA PUENTE),23.34777778,-99.42666667,"23.34777778,-99.42666667"
SAN ANTONIO (JAUMAVE),23.58388889,-99.34361111,"23.58388889,-99.34361111"
LA ESPERANZA (LA POLVAREDA),24.31861111,-98.57527778,"24.31861111,-98.57527778"
EMILIO VAZQUEZ GOMEZ (AGUA FRIA),24.56027778,-99.6525,"24.56027778,-99.6525"
LAS PUENTES (MAINERO),24.55916667,-99.52277778,"24.55916667,-99.52277778"
BUROCRATAS,22.7425,-98.97222222,"22.7425,-98.97222222"
CHAMPILICO,19.74111111,-97.26027778,"19.74111111,-97.26027778"
EL PORVENIR DEL CAMPESINO (OJO ESCONDIDO),29.44333333,-107.7669444,"29.44333333,-107.7669444"
TACATZCUARO,19.72944444,-102.5458333,"19.72944444,-102.5458333"
ILAMACINGO,18.0075,-98.24138889,"18.0075,-98.24138889"
TECOLTEPEC,18.32527778,-97.07916667,"18.32527778,-97.07916667"
CUANALA,19.11055556,-98.32833333,"19.11055556,-98.32833333"
SANTA MARIA MAGDALENA TILTEPEC,16.06333333,-97.17027778,"16.06333333,-97.17027778"
APIZOLAYA,24.81527778,-102.2752778,"24.81527778,-102.2752778"
CHICAYAN,21.76305556,-98.17083333,"21.76305556,-98.17083333"
EL BAYO,18.98388889,-95.97138889,"18.98388889,-95.97138889"
EL COLORADO,19.835,-96.93333333,"19.835,-96.93333333"
TEXCATEPEC,20.58416667,-98.36527778,"20.58416667,-98.36527778"
LOS ESQUIVELES,24.69666667,-102.8183333,"24.69666667,-102.8183333"
COYAY,20.08472222,-97.75611111,"20.08472222,-97.75611111"
COAHUITLAN,20.26,-97.72861111,"20.26,-97.72861111"
YATIPAN,20.86083333,-98.45472222,"20.86083333,-98.45472222"
